day0,day1,day2,day3,day4,day5,day6,day7,day8,day9,Average,Max,Min,Up_or_Down
1025.5,1025.58,1032.48,1025.9,1033.33,1039.85,1031.26,1028.07,1025.75,1026.0,1029.3719999999998,1039.85,1025.5,0
1035.96,1040.61,1054.21,1047.41,1021.66,1021.41,1010.17,998.68,1005.15,1018.38,1025.3639999999998,1054.21,998.68,1
1106.94,1106.26,1102.61,1105.52,1122.26,1121.76,1131.98,1129.79,1137.51,1155.81,1122.0439999999999,1155.81,1102.61,1
1163.69,1169.94,1167.7,1111.9,1055.8,1080.6,1048.58,1001.52,1037.78,1051.94,1088.9450000000002,1169.94,1001.52,1
1149.49,1149.58,1135.73,1099.82,1097.71,1090.88,1049.08,1021.57,1053.21,1005.1,1085.217,1149.58,1005.1,0
1027.81,1007.04,1015.45,1031.64,1019.97,1032.51,1029.27,1037.98,1074.16,1072.08,1034.791,1074.16,1007.04,1
1078.59,1066.36,1079.58,1069.73,1079.69,1079.24,1075.66,1060.32,1067.8,1084.99,1074.196,1084.99,1060.32,1
1120.87,1129.99,1139.32,1134.79,1152.12,1152.26,1173.46,1168.06,1169.84,1157.66,1149.837,1173.46,1120.87,0
1205.5,1248.08,1263.7,1268.33,1238.5,1219.74,1217.26,1220.01,1226.15,1223.71,1233.098,1268.33,1205.5,1
1235.01,1242.1,1214.38,1206.49,1200.96,1207.77,1201.62,1207.33,1205.38,1220.65,1214.1689999999996,1242.1,1200.96,1
1184.65,1180.49,1194.64,1193.47,1195.31,1200.11,1202.95,1168.19,1157.35,1148.97,1182.613,1202.95,1148.97,0
1121.28,1115.69,1087.97,1096.46,1101.16,1103.69,1050.71,1095.57,1071.47,1020.08,1086.408,1121.28,1020.08,1
1086.23,1088.3,1094.43,1106.43,1050.82,1068.73,1036.58,1039.55,1051.75,1063.68,1068.65,1106.43,1036.58,0
1009.41,979.54,976.22,1039.46,1043.88,1037.08,1035.61,1045.85,1016.06,1070.71,1025.382,1070.71,976.22,0
1145.99,1115.23,1098.71,1095.06,1095.01,1121.37,1120.16,1121.67,1113.65,1118.56,1114.541,1145.99,1095.01,0
1116.05,1119.92,1140.99,1147.8,1162.03,1157.86,1143.3,1142.32,1175.76,1193.2,1149.9230000000002,1193.2,1116.05,1
1202.16,1204.62,1217.87,1221.1,1227.13,1236.34,1236.37,1248.84,1264.55,1256.0,1231.498,1264.55,1202.16,1
1162.61,1185.4,1189.39,1174.1,1166.27,1162.38,1164.27,1132.03,1120.44,1164.21,1162.1100000000001,1189.39,1120.44,1
1085.35,1092.5,1103.6,1102.33,1111.42,1121.88,1115.52,1086.35,1079.8,1076.01,1097.476,1121.88,1076.01,1
